6, Дом, Строение, 9231, 11/3/2003, 9004781, 11/14/2003, 21139263
4764, Дом, Строение, 6700-p, 11/18/2003, 1005135, 11/26/2003, 21199104
4953, Дом, Строение, 6358, 8/9/2004, 9007182, 8/13/2004, 21255528
5086, Дом, Строение, 9232, 11/3/2003, 9005240, 11/24/2003, 21246099
5118, Дом, Строение, 01-41-1399, 8/23/2002, 5004549, 12/24/2002, 21199756
5119, Дом, Строение, 01-41-1399, 8/23/2002, 5004550, 12/24/2002, 21218396
5139, Дом, Строение, 2323-р, 5/23/2005, 1010141, 6/8/2005, 21218399
5328, Дом, Строение, 995-рп, 8/11/2011, 8009863, 8/18/2011, 21133589
5331, Дом, Строение, 975-рп, 8/9/2011, 8009876, 8/22/2011, 21133601
5346, Дом, Строение, 988-рп, 8/11/2011, 8009864, 8/18/2011, 21133605
5347, Дом, Строение, 989-рп, 8/11/2011, 8009865, 8/22/2011, 21130789
5349, Дом, Строение, 976-рп, 8/9/2011, 8009877, 8/22/2011, 21130793
5362, Дом, Строение, 951-рп, 8/8/2011, 8009884, 8/22/2011, 21133621
5372, Дом, Строение, 236-рп, 6/15/2012, 8010014, 6/29/2012, 21131370
5375, Дом, Строение, 237-рп, 6/15/2012, 8010013, 6/29/2012, 21131378
5379, Дом, Строение, 962-рп, 8/9/2011, 8009856, 8/18/2011, 21131387
5428, Дом, Строение, 3888-р, 9/7/2005, 1013339, 9/16/2005, 21147333
5452, Дом, Строение, 65-РП, 1/20/2005, 7302796, 3/9/2005, 21147339
5461, Дом, Строение, 65-РП, 1/20/2005, 7302784, 3/9/2005, 21218409
5465, Дом, Строение, 65-РП, 1/20/2005, 7302788, 3/9/2005, 21237103
5483, Дом, Строение, 1294-В-РП, 9/29/2004, 3304445, 10/11/2004, 21211664
5488, Дом, Строение, 1294-В-РП, 9/29/2004, 3304448, 10/11/2004, 21147352
5544, Дом, Строение, 202-В-РП, 2/2/2007, 3208133, 2/20/2007, 21211671
5547, Дом, Строение, 456-а, 6/15/1960, 3200380, 3/11/2001, 21244856
5589, Дом, Строение, 746-рп, 7/22/2005, 9302544, 8/24/2005, 21218416
5590, Дом, Строение, 746-рп, 7/22/2005, 9302543, 8/24/2005, 21218419
5591, Дом, Строение, 746-рп, 7/22/2005, 9302545, 8/24/2005, 21246103
5613, Дом, Строение, 3289, 12/9/2003, 4002621, 12/23/2003, 21211676
5685, Дом, Строение, 3032-р, 6/26/2006, 1017531, 7/5/2006, 21218422
5686, Дом, Строение, 3032-р, 6/26/2006, 1017533, 7/5/2006, 21199768
5687, Дом, Строение, 3032-р, 6/26/2006, 1017534, 7/5/2006, 21199123
5693, Дом, Строение, 3032-р, 6/26/2006, 1017542, 7/5/2006, 21252794
5694, Дом, Строение, 3032-р, 6/26/2006, 1017547, 7/5/2006, 21237106
5707, Дом, Строение, 3804, 11/22/2004, 2204865, 11/24/2004, 21218426
5709, Дом, Строение, 1857, 7/25/2005, 2208372, 7/26/2005, 21218429
5711, Дом, Строение, 3804, 11/22/2004, 2204869, 11/24/2004, 21237109
5718, Дом, Строение, 3804, 11/22/2004, 2204840, 11/24/2004, 21211689
5723, Дом, Строение, 3804, 11/22/2004, 2204859, 11/24/2004, 21148206
5725, Дом, Строение, 3804, 11/22/2004, 2204856, 11/24/2004, 21199774
5726, Дом, Строение, 3804, 11/22/2004, 2204857, 11/24/2004, 21218436
5727, Дом, Строение, 3804, 11/22/2004, 2204858, 11/24/2004, 21252801
5728, Дом, Строение, 48, 1/15/2007, 2212588, 1/19/2007, 21237113
5730, Дом, Строение, 3804, 11/22/2004, 2204861, 11/24/2004, 21218439
5799, Дом, Строение, 874-р, 3/2/2006, 1016001, 3/28/2006, 21148225
5813, Дом, Строение, 2629-р, 6/9/2005, 1011266, 6/24/2005, 21201522
5855, Дом, Строение, 3032-р, 6/26/2006, 1017641, 7/5/2006, 21252804
5889, Дом, Строение, 3028-p, 7/4/2005, 1012218, 7/22/2005, 21218446
5895, Дом, Строение, 610, 3/22/2006, 2210339, 4/18/2006, 21148237
5896, Дом, Строение, 610, 3/22/2006, 2210337, 4/18/2006, 21218452
5898, Дом, Строение, 1802, 7/18/2005, 2208255, 7/26/2005, 21255536
5901, Дом, Строение, 1802, 7/18/2005, 2208204, 7/25/2005, 21255539
5908, Дом, Строение, 3952-р, 8/12/2002, 1001717, 8/15/2002, 21183424
5925, Дом, Строение, 981-В-РП, 9/29/2003, 3201287, 10/1/2003, 21199130
5949, Дом, Строение, 2471, 10/21/2004, 4006712, 10/27/2004, 21148250
5950, Дом, Строение, 2471, 10/21/2004, 4006711, 10/27/2004, 21199135
5966, Дом, Строение, 3438, 12/23/2003, 4003119, 1/6/2004, 21148256
5973, Дом, Строение, 2471, 10/21/2004, 4008234, 3/10/2005, 21148263
6332, Дом, Строение, 1294-В-РП, 9/29/2004, 3304494, 10/11/2004, 21148268
6334, Дом, Строение, 1294-В-РП, 9/29/2004, 3304496, 10/11/2004, 21244867
6343, Дом, Строение, 1294-В-РП, 9/29/2004, 3304502, 10/11/2004, 21148275
6345, Дом, Строение, 1294-В-РП, 9/29/2004, 3304504, 10/11/2004, 21218472
6374, Дом, Строение, 2043, 7/21/2003, 2201648, 8/6/2003, 21148287
6428, Дом, Строение, 3804, 11/22/2004, 2205370, 11/24/2004, 21218479
6430, Дом, Строение, 2043, 7/21/2003, 2201597, 7/29/2003, 21199787
6439, Дом, Строение, 3055, 9/13/2004, 2203966, 9/20/2004, 21218482
6441, Дом, Строение, 2203, 6/28/2004, 2203669, 8/10/2004, 21211708
6474, Дом, Строение, 01-41-2825, 10/26/2004, 5011084, 11/12/2004, 21218486
6549, Дом, Строение, 1295-В-РП, 12/5/2003, 3302027, 12/9/2003, 21148311
6800, Дом, Строение, 1857, 7/25/2005, 2208375, 7/26/2005, 21252811
6806, Дом, Строение, 3804, 11/22/2004, 2204880, 11/24/2004, 21148318
6810, Дом, Строение, 48, 1/15/2007, 2212589, 1/19/2007, 21211720
6811, Дом, Строение, 48, 1/15/2007, 2212590, 1/19/2007, 21148324
6814, Дом, Строение, 3804, 11/22/2004, 2204884, 11/24/2004, 21245316
6815, Дом, Строение, 3804, 11/22/2004, 2204885, 11/24/2004, 21148330
6817, Дом, Строение, 3804, 11/22/2004, 2204897, 11/24/2004, 21148337
6890, Дом, Строение, 6335, 8/22/2005, 9011376, 8/25/2005, 21218930
7105, Дом, Строение, 4222-p, 6/25/2004, 1005983, 6/30/2004, 21148349
7129, Дом, Строение, 8935, 11/15/2004, 9008948, 11/23/2004, 21218937
7132, Дом, Строение, 8935, 11/15/2004, 9008949, 11/23/2004, 21148361
7257, Дом, Строение, 2358-р, 6/10/2002, 1001366, 6/17/2002, 21237119
7261, Дом, Строение, 1063, 5/11/2004, 4005014, 5/25/2004, 21252818
7262, Дом, Строение, 1063, 5/11/2004, 4005015, 5/25/2004, 21148368
7266, Дом, Строение, 1063, 5/11/2004, 4005030, 5/25/2004, 21218947
7267, Дом, Строение, 1063, 5/11/2004, 4005029, 5/25/2004, 21218951
7269, Дом, Строение, 3029-р, 6/26/2006, 1017075, 7/4/2006, 21148386
7271, Дом, Строение, 1063, 5/11/2004, 4005033, 5/25/2004, 21148392
7272, Дом, Строение, 1063, 5/11/2004, 4005032, 5/25/2004, 21148397
7278, Дом, Строение, 1063, 5/11/2004, 4005052, 5/25/2004, 21148403
7326, Дом, Строение, 01-41-2826, 10/26/2004, 5011214, 11/15/2004, 21199142
7330, Дом, Строение, 01-41-2826, 10/26/2004, 5011223, 11/15/2004, 21183436
7622, Дом, Строение, 3627, 5/12/2004, 9006636, 5/31/2004, 21218967
7625, Дом, Строение, 3627, 5/12/2004, 9006631, 5/31/2004, 21246120
7627, Дом, Строение, 3627, 5/12/2004, 9006633, 5/31/2004, 21246123
7631, Дом, Строение, 459, 2/7/2005, 9009553, 2/17/2005, 21201541
7772, Дом, Строение, 2629-р, 6/9/2005, 1011201, 6/24/2005, 21218971
7899, Дом, Строение, 746-рп, 7/22/2005, 9302578, 9/21/2005, 21201548
7901, Дом, Строение, 746-рп, 7/22/2005, 9302580, 9/21/2005, 21218974
7907, Дом, Строение, 746-рп, 7/22/2005, 9302569, 9/21/2005, 21218978
7908, Дом, Строение, 746-рп, 7/22/2005, 9302570, 9/21/2005, 21218981
7911, Дом, Строение, 746-рп, 7/22/2005, 9302572, 9/21/2005, 21246127
7945, Дом, Строение, 01-41-2826, 10/26/2004, 5011154, 11/15/2004, 21246130
7950, Дом, Строение, 01-41-2826, 10/26/2004, 5011155, 11/15/2004, 21148441
8014, Дом, Строение, 4222-p, 6/25/2004, 1005966, 6/30/2004, 21199171
8210, Дом, Строение, 3512-р, 7/27/2006, 1018375, 8/14/2006, 21255549
8236, Дом, Строение, 6331, 8/22/2005, 9011617, 8/29/2005, 21211732
8344, Дом, Строение, 918-В-РП, 9/4/2003, 3301764, 9/11/2003, 21148446
8456, Дом, Строение, , , 0, , 21218991
8457, Дом, Строение, 511-В-РП, 3/27/2006, 3206695, 4/10/2006, 21201560
8541, Дом, Строение, 1393-В-РП, 12/24/2003, 3302209, 1/5/2004, 21218994
8613, Дом, Строение, 781-В-РП, 7/31/2003, 3301159, 9/1/2003, 21148464
8635, Дом, Строение, 1201-В-РП, 9/16/2004, 3303847, 9/23/2004, 21201568
8699, Дом, Строение, 782-В-РП, 7/31/2003, 3301273, 9/2/2003, 21201575
8711, Дом, Строение, 938-В-РП, 5/18/2005, 3305243, 5/24/2005, 21148469
8776, Дом, Строение, 1188, 6/2/2000, 2200109, 5/30/2000, 21201580
8791, Дом, Строение, 2322, 9/18/2006, 2211836, 9/25/2006, 21219004
8867, Дом, Строение, 2309, 9/11/2003, 4001266, 9/15/2003, 21245319
8882, Дом, Строение, 511-В-РП, 3/27/2006, 3206717, 4/10/2006, 21148481
8883, Дом, Строение, 511-В-РП, 3/27/2006, 3206718, 4/10/2006, 21148487
8886, Дом, Строение, , , 0, , 21149362
9088, Дом, Строение, 2117, 7/30/2003, 2201781, 8/8/2003, 21219018
9089, Дом, Строение, 2117, 7/30/2003, 2201783, 8/8/2003, 21201587
9118, Дом, Строение, 1011-р, 4/11/2002, 1001173, 4/19/2002, 21237126
9119, Дом, Строение, 1910-Р, 5/27/2002, 1001332, 6/5/2002, 21183448
9156, Дом, Строение, 511-В-РП, 3/27/2006, 3206810, 4/12/2006, 21245323
9159, Дом, Строение, 511-В-РП, 3/27/2006, 3206778, 4/11/2006, 21219020
9169, Дом, Строение, 511-В-РП, 3/27/2006, 3206799, 4/12/2006, 21245326
9204, Дом, Строение, 01-41-2080, 8/23/2004, 5010238, 10/20/2004, 21149379
9364, Дом, Строение, 3288, 12/9/2003, 4002232, 12/18/2003, 21219027
9386, Дом, Строение, 3438, 12/23/2003, 4003088, 1/6/2004, 21149390
9464, Дом, Строение, 6983, 9/19/2003, 9004573, 10/6/2003, 21149397
9499, Дом, Строение, 3026-р, 7/4/2005, 1011824, 7/13/2005, 21255569
9512, Дом, Строение, 3498-р, 7/22/2002, 1001575, 8/5/2002, 21237133
9525, Дом, Строение, 6700-p, 11/18/2003, 1005074, 11/26/2003, 21201601
9526, Дом, Строение, 6700-p, 11/18/2003, 1005075, 11/26/2003, 21219037
9534, Дом, Строение, 2043, 7/21/2003, 2201721, 8/6/2003, 21253275
9706, Дом, Строение, 1614-РП, 7/29/2005, 6005895, 8/16/2005, 21246137
9845, Дом, Строение, 01-41-3580, 12/29/2003, 5007643, 2/19/2004, 21199819
9853, Дом, Строение, 01-41-3580, 12/29/2003, 5007639, 2/19/2004, 21199977
9980, Дом, Строение, 1131-РП, 6/8/2005, 6004841, 6/16/2005, 21149409
9982, Дом, Строение, 1131-РП, 6/8/2005, 6004843, 6/16/2005, 21219044
10078, Дом, Строение, 7417-р, 11/17/2004, 1007728, 11/30/2004, 21255578
10135, Дом, Строение, 01-41-1399, 8/23/2002, 5004474, 12/24/2002, 21199825
10136, Дом, Строение, 01-41-1399, 8/23/2002, 5004475, 12/24/2002, 21149423
10223, Дом, Строение, 13-21, 3/15/1978, 9000664, 4/9/2001, 21149430
10256, Дом, Строение, 6983, 9/19/2003, 9004292, 10/3/2003, 21149435
10288, Дом, Строение, 5182, 6/28/2005, 9010710, 7/7/2005, 21219057
10293, Дом, Строение, 5182, 6/28/2005, 9010718, 7/7/2005, 21149447
10392, Дом, Строение, 1068, 5/11/2004, 4005244, 5/31/2004, 21211744
10393, Дом, Строение, 1068, 5/11/2004, 4005245, 5/31/2004, 21237136
10406, Дом, Строение, 01-41-3132, 11/3/2003, 5006127, 11/14/2003, 21219064
10421, Дом, Строение, 4413-p, 6/30/2004, 1006489, 7/15/2004, 21183466
10555, Дом, Строение, 2800, 10/9/2003, 2202583, 10/29/2003, 21219067
10557, Дом, Строение, 2800, 10/9/2003, 2202585, 10/29/2003, 21219071
10560, Дом, Строение, 2800, 10/9/2003, 2202587, 10/29/2003, 21246144
10562, Дом, Строение, 2800, 10/9/2003, 2202593, 10/29/2003, 21149469
10564, Дом, Строение, 2800, 10/9/2003, 2202594, 10/29/2003, 21199989
10567, Дом, Строение, 675, 3/31/2005, 2206520, 4/7/2005, 21245340
10568, Дом, Строение, 675, 3/31/2005, 2206519, 4/7/2005, 21149474
10569, Дом, Строение, 3371, 12/20/2006, 2212404, 12/28/2006, 21211751
10571, Дом, Строение, 675, 3/31/2005, 2206522, 4/7/2005, 21189808
10575, Дом, Строение, 675, 3/31/2005, 2206514, 4/7/2005, 21149480
10576, Дом, Строение, 3371, 12/20/2006, 2212403, 12/28/2006, 21189815
10579, Дом, Строение, 675, 3/31/2005, 2206517, 4/7/2005, 21219502
10581, Дом, Строение, 675, 3/31/2005, 2206537, 4/7/2005, 21255581
10584, Дом, Строение, 675, 3/31/2005, 2206540, 4/7/2005, 21219506
10586, Дом, Строение, 675, 3/31/2005, 2206542, 4/7/2005, 21240866
10612, Дом, Строение, 4, 1/9/2007, 2212459, 1/15/2007, 21199845
10652, Дом, Строение, 873-р, 3/2/2006, 1014628, 3/15/2006, 21255585
10663, Дом, Строение, 943-РП, 5/16/2005, 6303149, 5/31/2005, 21245347
10665, Дом, Строение, 943-РП, 5/16/2005, 6303152, 5/31/2005, 21245350
10667, Дом, Строение, 870-р, 3/2/2006, 1015430, 3/27/2006, 21237563
10697, Дом, Строение, 944-р, 3/2/2005, 1008694, 3/15/2005, 21149497
